scientificName,type,genusOrAbove,specificEpithet,parsed,parsedPartially,canonicalName,canonicalNameComplete,canonicalNameWithMarker,rankMarker,infraSpecificEpithet,cultivarEpithet,nomStatus,authorship,bracketAuthorship,strain,notho
Thalassarche salvini,SCIENTIFIC,Thalassarche,salvini,True,False,Thalassarche salvini,Thalassarche salvini,Thalassarche salvini,sp.,,,,,,,
Thalassarche steadi,SCIENTIFIC,Thalassarche,steadi,True,False,Thalassarche steadi,Thalassarche steadi,Thalassarche steadi,sp.,,,,,,,
Thinornis cucullatus cucullatus,SCIENTIFIC,Thinornis,cucullatus,True,False,Thinornis cucullatus cucullatus,Thinornis cucullatus cucullatus,Thinornis cucullatus cucullatus,infrasp.,cucullatus,,,,,,
Turnix melanogaster,SCIENTIFIC,Turnix,melanogaster,True,False,Turnix melanogaster,Turnix melanogaster,Turnix melanogaster,sp.,,,,,,,
Tyto novaehollandiae castanops (Tasmanian population),SCIENTIFIC,Tyto,novaehollandiae,True,True,Tyto novaehollandiae castanops,Tyto novaehollandiae castanops,Tyto novaehollandiae castanops,infrasp.,castanops,,,,,,
Tyto novaehollandiae kimberli,SCIENTIFIC,Tyto,novaehollandiae,True,False,Tyto novaehollandiae kimberli,Tyto novaehollandiae kimberli,Tyto novaehollandiae kimberli,infrasp.,kimberli,,,,,,
Xenus cinereus,SCIENTIFIC,Xenus,cinereus,True,False,Xenus cinereus,Xenus cinereus,Xenus cinereus,sp.,,,,,,,
Antechinus bellus,SCIENTIFIC,Antechinus,bellus,True,False,Antechinus bellus,Antechinus bellus,Antechinus bellus,sp.,,,,,,,
Antechinus minimus maritimus,SCIENTIFIC,Antechinus,minimus,True,False,Antechinus minimus maritimus,Antechinus minimus maritimus,Antechinus minimus maritimus,infrasp.,maritimus,,,,,,
Balaenoptera borealis,SCIENTIFIC,Balaenoptera,borealis,True,False,Balaenoptera borealis,Balaenoptera borealis,Balaenoptera borealis,sp.,,,,,,,
Balaenoptera physalus,SCIENTIFIC,Balaenoptera,physalus,True,False,Balaenoptera physalus,Balaenoptera physalus,Balaenoptera physalus,sp.,,,,,,,
Bettongia lesueur Barrow and Boodie Islands subspecies,SCIENTIFIC,Bettongia,lesueur,True,True,Bettongia lesueur,Bettongia lesueur Barrow & Boodie,Bettongia lesueur,sp.,,,,Barrow & Boodie,,,
Bettongia lesueur lesueur,SCIENTIFIC,Bettongia,lesueur,True,False,Bettongia lesueur lesueur,Bettongia lesueur lesueur,Bettongia lesueur lesueur,infrasp.,lesueur,,,,,,
Conilurus penicillatus,SCIENTIFIC,Conilurus,penicillatus,True,False,Conilurus penicillatus,Conilurus penicillatus,Conilurus penicillatus,sp.,,,,,,,
Dasyurus geoffroii,SCIENTIFIC,Dasyurus,geoffroii,True,False,Dasyurus geoffroii,Dasyurus geoffroii,Dasyurus geoffroii,sp.,,,,,,,
Dasyurus maculatus maculatus (Tasmanian population),SCIENTIFIC,Dasyurus,maculatus,True,True,Dasyurus maculatus maculatus,Dasyurus maculatus maculatus,Dasyurus maculatus maculatus,infrasp.,maculatus,,,,,,
Hipposideros semoni,SCIENTIFIC,Hipposideros,semoni,True,False,Hipposideros semoni,Hipposideros semoni,Hipposideros semoni,sp.,,,,,,,
Isoodon auratus auratus,SCIENTIFIC,Isoodon,auratus,True,False,Isoodon auratus auratus,Isoodon auratus auratus,Isoodon auratus auratus,infrasp.,auratus,,,,,,
Isoodon auratus barrowensis,SCIENTIFIC,Isoodon,auratus,True,False,Isoodon auratus barrowensis,Isoodon auratus barrowensis,Isoodon auratus barrowensis,infrasp.,barrowensis,,,,,,
Isoodon obesulus nauticus,SCIENTIFIC,Isoodon,obesulus,True,False,Isoodon obesulus nauticus,Isoodon obesulus nauticus,Isoodon obesulus nauticus,infrasp.,nauticus,,,,,,
Lagorchestes conspicillatus conspicillatus,SCIENTIFIC,Lagorchestes,conspicillatus,True,False,Lagorchestes conspicillatus conspicillatus,Lagorchestes conspicillatus conspicillatus,Lagorchestes conspicillatus conspicillatus,infrasp.,conspicillatus,,,,,,
Lagorchestes hirsutus bernieri,SCIENTIFIC,Lagorchestes,hirsutus,True,False,Lagorchestes hirsutus bernieri,Lagorchestes hirsutus bernieri,Lagorchestes hirsutus bernieri,infrasp.,bernieri,,,,,,
Lagorchestes hirsutus dorreae,SCIENTIFIC,Lagorchestes,hirsutus,True,False,Lagorchestes hirsutus dorreae,Lagorchestes hirsutus dorreae,Lagorchestes hirsutus dorreae,infrasp.,dorreae,,,,,,
Lagostrophus fasciatus fasciatus,SCIENTIFIC,Lagostrophus,fasciatus,True,False,Lagostrophus fasciatus fasciatus,Lagostrophus fasciatus fasciatus,Lagostrophus fasciatus fasciatus,infrasp.,fasciatus,,,,,,
Leporillus conditor,SCIENTIFIC,Leporillus,conditor,True,False,Leporillus conditor,Leporillus conditor,Leporillus conditor,sp.,,,,,,,
Macroderma gigas,SCIENTIFIC,Macroderma,gigas,True,False,Macroderma gigas,Macroderma gigas,Macroderma gigas,sp.,,,,,,,
Macrotis lagotis,SCIENTIFIC,Macrotis,lagotis,True,False,Macrotis lagotis,Macrotis lagotis,Macrotis lagotis,sp.,,,,,,,
Mesembriomys gouldii melvillensis,SCIENTIFIC,Mesembriomys,gouldii,True,False,Mesembriomys gouldii melvillensis,Mesembriomys gouldii melvillensis,Mesembriomys gouldii melvillensis,infrasp.,melvillensis,,,,,,
Mesembriomys gouldii rattoides,SCIENTIFIC,Mesembriomys,gouldii,True,False,Mesembriomys gouldii rattoides,Mesembriomys gouldii rattoides,Mesembriomys gouldii rattoides,infrasp.,rattoides,,,,,,
Mirounga leonina,SCIENTIFIC,Mirounga,leonina,True,False,Mirounga leonina,Mirounga leonina,Mirounga leonina,sp.,,,,,,,
Notamacropus parma,SCIENTIFIC,Notamacropus,parma,True,False,Notamacropus parma,Notamacropus parma,Notamacropus parma,sp.,,,,,,,
Notomys fuscus,SCIENTIFIC,Notomys,fuscus,True,False,Notomys fuscus,Notomys fuscus,Notomys fuscus,sp.,,,,,,,
Nyctophilus corbeni,SCIENTIFIC,Nyctophilus,corbeni,True,False,Nyctophilus corbeni,Nyctophilus corbeni,Nyctophilus corbeni,sp.,,,,,,,
Osphranter robustus isabellinus,SCIENTIFIC,Osphranter,robustus,True,False,Osphranter robustus isabellinus,Osphranter robustus isabellinus,Osphranter robustus isabellinus,infrasp.,isabellinus,,,,,,
Perameles gunnii gunnii,SCIENTIFIC,Perameles,gunnii,True,False,Perameles gunnii gunnii,Perameles gunnii gunnii,Perameles gunnii gunnii,infrasp.,gunnii,,,,,,
Petauroides minor,SCIENTIFIC,Petauroides,minor,True,False,Petauroides minor,Petauroides minor,Petauroides minor,sp.,,,,,,,
Petaurus australis australis,SCIENTIFIC,Petaurus,australis,True,False,Petaurus australis australis,Petaurus australis australis,Petaurus australis australis,infrasp.,australis,,,,,,
Petrogale lateralis centralis,SCIENTIFIC,Petrogale,lateralis,True,False,Petrogale lateralis centralis,Petrogale lateralis centralis,Petrogale lateralis centralis,infrasp.,centralis,,,,,,
Petrogale lateralis hacketti,SCIENTIFIC,Petrogale,lateralis,True,False,Petrogale lateralis hacketti,Petrogale lateralis hacketti,Petrogale lateralis hacketti,infrasp.,hacketti,,,,,,
Petrogale penicillata,SCIENTIFIC,Petrogale,penicillata,True,False,Petrogale penicillata,Petrogale penicillata,Petrogale penicillata,sp.,,,,,,,
Petrogale sharmani,SCIENTIFIC,Petrogale,sharmani,True,False,Petrogale sharmani,Petrogale sharmani,Petrogale sharmani,sp.,,,,,,,
Petrogale xanthopus celeris,SCIENTIFIC,Petrogale,xanthopus,True,False,Petrogale xanthopus celeris,Petrogale xanthopus celeris,Petrogale xanthopus celeris,infrasp.,celeris,,,,,,
Petrogale xanthopus xanthopus,SCIENTIFIC,Petrogale,xanthopus,True,False,Petrogale xanthopus xanthopus,Petrogale xanthopus xanthopus,Petrogale xanthopus xanthopus,infrasp.,xanthopus,,,,,,
Phascogale calura,SCIENTIFIC,Phascogale,calura,True,False,Phascogale calura,Phascogale calura,Phascogale calura,sp.,,,,,,,
Phascogale pirata,SCIENTIFIC,Phascogale,pirata,True,False,Phascogale pirata,Phascogale pirata,Phascogale pirata,sp.,,,,,,,
Phascogale tapoatafa kimberleyensis,SCIENTIFIC,Phascogale,tapoatafa,True,False,Phascogale tapoatafa kimberleyensis,Phascogale tapoatafa kimberleyensis,Phascogale tapoatafa kimberleyensis,infrasp.,kimberleyensis,,,,,,
Potorous tridactylus tridactylus,SCIENTIFIC,Potorous,tridactylus,True,False,Potorous tridactylus tridactylus,Potorous tridactylus tridactylus,Potorous tridactylus tridactylus,infrasp.,tridactylus,,,,,,
Potorous tridactylus trisulcatus,SCIENTIFIC,Potorous,tridactylus,True,False,Potorous tridactylus trisulcatus,Potorous tridactylus trisulcatus,Potorous tridactylus trisulcatus,infrasp.,trisulcatus,,,,,,
Pseudomys australis,SCIENTIFIC,Pseudomys,australis,True,False,Pseudomys australis,Pseudomys australis,Pseudomys australis,sp.,,,,,,,
Pseudomys fieldi,SCIENTIFIC,Pseudomys,fieldi,True,False,Pseudomys fieldi,Pseudomys fieldi,Pseudomys fieldi,sp.,,,,,,,
Pseudomys novaehollandiae,SCIENTIFIC,Pseudomys,novaehollandiae,True,False,Pseudomys novaehollandiae,Pseudomys novaehollandiae,Pseudomys novaehollandiae,sp.,,,,,,,
Pseudomys pilligaensis,SCIENTIFIC,Pseudomys,pilligaensis,True,False,Pseudomys pilligaensis,Pseudomys pilligaensis,Pseudomys pilligaensis,sp.,,,,,,,
Pteropus poliocephalus,SCIENTIFIC,Pteropus,poliocephalus,True,False,Pteropus poliocephalus,Pteropus poliocephalus,Pteropus poliocephalus,sp.,,,,,,,
Rhinolophus robertsi,SCIENTIFIC,Rhinolophus,robertsi,True,False,Rhinolophus robertsi,Rhinolophus robertsi,Rhinolophus robertsi,sp.,,,,,,,
Rhinonicteris aurantia (Pilbara form),SCIENTIFIC,Rhinonicteris,aurantia,True,True,Rhinonicteris aurantia,Rhinonicteris aurantia,Rhinonicteris aurantia,sp.,,,,,,,
Saccolaimus saccolaimus nudicluniatus,SCIENTIFIC,Saccolaimus,saccolaimus,True,False,Saccolaimus saccolaimus nudicluniatus,Saccolaimus saccolaimus nudicluniatus,Saccolaimus saccolaimus nudicluniatus,infrasp.,nudicluniatus,,,,,,
Setonix brachyurus,SCIENTIFIC,Setonix,brachyurus,True,False,Setonix brachyurus,Setonix brachyurus,Setonix brachyurus,sp.,,,,,,,
Sminthopsis butleri,SCIENTIFIC,Sminthopsis,butleri,True,False,Sminthopsis butleri,Sminthopsis butleri,Sminthopsis butleri,sp.,,,,,,,
Sminthopsis douglasi,SCIENTIFIC,Sminthopsis,douglasi,True,False,Sminthopsis douglasi,Sminthopsis douglasi,Sminthopsis douglasi,sp.,,,,,,,
Trichosurus vulpecula arnhemensis,SCIENTIFIC,Trichosurus,vulpecula,True,False,Trichosurus vulpecula arnhemensis,Trichosurus vulpecula arnhemensis,Trichosurus vulpecula arnhemensis,infrasp.,arnhemensis,,,,,,
Xeromys myoides,SCIENTIFIC,Xeromys,myoides,True,False,Xeromys myoides,Xeromys myoides,Xeromys myoides,sp.,,,,,,,
Zyzomys maini,SCIENTIFIC,Zyzomys,maini,True,False,Zyzomys maini,Zyzomys maini,Zyzomys maini,sp.,,,,,,,
Astacopsis gouldi,SCIENTIFIC,Astacopsis,gouldi,True,False,Astacopsis gouldi,Astacopsis gouldi,Astacopsis gouldi,sp.,,,,,,,
Bertmainius colonus,SCIENTIFIC,Bertmainius,colonus,True,False,Bertmainius colonus,Bertmainius colonus,Bertmainius colonus,sp.,,,,,,,
Cherax robustus,SCIENTIFIC,Cherax,robustus,True,False,Cherax robustus,Cherax robustus,Cherax robustus,sp.,,,,,,,
Engaeus orramakunna,SCIENTIFIC,Engaeus,orramakunna,True,False,Engaeus orramakunna,Engaeus orramakunna,Engaeus orramakunna,sp.,,,,,,,
Engaeus yabbimunna,SCIENTIFIC,Engaeus,yabbimunna,True,False,Engaeus yabbimunna,Engaeus yabbimunna,Engaeus yabbimunna,sp.,,,,,,,
Hoplogonus simsoni,SCIENTIFIC,Hoplogonus,simsoni,True,False,Hoplogonus simsoni,Hoplogonus simsoni,Hoplogonus simsoni,sp.,,,,,,,
Hoplogonus vanderschoori,SCIENTIFIC,Hoplogonus,vanderschoori,True,False,Hoplogonus vanderschoori,Hoplogonus vanderschoori,Hoplogonus vanderschoori,sp.,,,,,,,
Idiosoma nigrum,SCIENTIFIC,Idiosoma,nigrum,True,False,Idiosoma nigrum,Idiosoma nigrum,Idiosoma nigrum,sp.,,,,,,,
Kumonga exleyi,SCIENTIFIC,Kumonga,exleyi,True,False,Kumonga exleyi,Kumonga exleyi,Kumonga exleyi,sp.,,,,,,,
Megascolides australis,SCIENTIFIC,Megascolides,australis,True,False,Megascolides australis,Megascolides australis,Megascolides australis,sp.,,,,,,,
Oreisplanus munionga larana,SCIENTIFIC,Oreisplanus,munionga,True,False,Oreisplanus munionga larana,Oreisplanus munionga larana,Oreisplanus munionga larana,infrasp.,larana,,,,,,
Paralucia spinifera,SCIENTIFIC,Paralucia,spinifera,True,False,Paralucia spinifera,Paralucia spinifera,Paralucia spinifera,sp.,,,,,,,
Parvulastra vivipara,SCIENTIFIC,Parvulastra,vivipara,True,False,Parvulastra vivipara,Parvulastra vivipara,Parvulastra vivipara,sp.,,,,,,,
Synemon plana,SCIENTIFIC,Synemon,plana,True,False,Synemon plana,Synemon plana,Synemon plana,sp.,,,,,,,
Westralunio carteri,SCIENTIFIC,Westralunio,carteri,True,False,Westralunio carteri,Westralunio carteri,Westralunio carteri,sp.,,,,,,,
Centrophorus harrissoni,SCIENTIFIC,Centrophorus,harrissoni,True,False,Centrophorus harrissoni,Centrophorus harrissoni,Centrophorus harrissoni,sp.,,,,,,,
Centrophorus uyato,SCIENTIFIC,Centrophorus,uyato,True,False,Centrophorus uyato,Centrophorus uyato,Centrophorus uyato,sp.,,,,,,,
Galeorhinus galeus,SCIENTIFIC,Galeorhinus,galeus,True,False,Galeorhinus galeus,Galeorhinus galeus,Galeorhinus galeus,sp.,,,,,,,
Hoplostethus atlanticus,SCIENTIFIC,Hoplostethus,atlanticus,True,False,Hoplostethus atlanticus,Hoplostethus atlanticus,Hoplostethus atlanticus,sp.,,,,,,,
Rexea solandri (eastern Australian population),SCIENTIFIC,Rexea,solandri,True,True,Rexea solandri population,Rexea solandri population,Rexea solandri population,infrasp.,population,,,,,,
Seriolella brama,SCIENTIFIC,Seriolella,brama,True,False,Seriolella brama,Seriolella brama,Seriolella brama,sp.,,,,,,,
Sphyrna lewini,SCIENTIFIC,Sphyrna,lewini,True,False,Sphyrna lewini,Sphyrna lewini,Sphyrna lewini,sp.,,,,,,,
Thunnus maccoyii,SCIENTIFIC,Thunnus,maccoyii,True,False,Thunnus maccoyii,Thunnus maccoyii,Thunnus maccoyii,sp.,,,,,,,
Acacia kingiana,SCIENTIFIC,Acacia,kingiana,True,False,Acacia kingiana,Acacia kingiana,Acacia kingiana,sp.,,,,,,,
Acacia prismifolia,SCIENTIFIC,Acacia,prismifolia,True,False,Acacia prismifolia,Acacia prismifolia,Acacia prismifolia,sp.,,,,,,,
Acianthus ledwardii,SCIENTIFIC,Acianthus,ledwardii,True,False,Acianthus ledwardii,Acianthus ledwardii,Acianthus ledwardii,sp.,,,,,,,
Amperea xiphoclada var. pedicellata,SCIENTIFIC,Amperea,xiphoclada,True,False,Amperea xiphoclada pedicellata,Amperea xiphoclada var. pedicellata,Amperea xiphoclada var. pedicellata,var.,pedicellata,,,,,,
Amphibromus whitei,SCIENTIFIC,Amphibromus,whitei,True,False,Amphibromus whitei,Amphibromus whitei,Amphibromus whitei,sp.,,,,,,,
Caladenia brachyscapa,SCIENTIFIC,Caladenia,brachyscapa,True,False,Caladenia brachyscapa,Caladenia brachyscapa,Caladenia brachyscapa,sp.,,,,,,,
Coleanthera virgata = Styphelia lanata,DOUBTFUL,Coleanthera,virgata,True,False,Coleanthera virgata lanata,Coleanthera virgata lanata,Coleanthera virgata lanata,infrasp.,lanata,,,,,,
Deyeuxia lawrencei,SCIENTIFIC,Deyeuxia,lawrencei,True,False,Deyeuxia lawrencei,Deyeuxia lawrencei,Deyeuxia lawrencei,sp.,,,,,,,
Didymoglossum exiguum,SCIENTIFIC,Didymoglossum,exiguum,True,False,Didymoglossum exiguum,Didymoglossum exiguum,Didymoglossum exiguum,sp.,,,,,,,
Diuris bracteata,SCIENTIFIC,Diuris,bracteata,True,False,Diuris bracteata,Diuris bracteata,Diuris bracteata,sp.,,,,,,,
Euphrasia ruptura,SCIENTIFIC,Euphrasia,ruptura,True,False,Euphrasia ruptura,Euphrasia ruptura,Euphrasia ruptura,sp.,,,,,,,
Frankenia decurrens,SCIENTIFIC,Frankenia,decurrens,True,False,Frankenia decurrens,Frankenia decurrens,Frankenia decurrens,sp.,,,,,,,
Huperzia serrata,SCIENTIFIC,Huperzia,serrata,True,False,Huperzia serrata,Huperzia serrata,Huperzia serrata,sp.,,,,,,,
Hymenophyllum lobbii,SCIENTIFIC,Hymenophyllum,lobbii,True,False,Hymenophyllum lobbii,Hymenophyllum lobbii,Hymenophyllum lobbii,sp.,,,,,,,
Hymenophyllum whitei,SCIENTIFIC,Hymenophyllum,whitei,True,False,Hymenophyllum whitei,Hymenophyllum whitei,Hymenophyllum whitei,sp.,,,,,,,
Lemmaphyllum accedens,SCIENTIFIC,Lemmaphyllum,accedens,True,False,Lemmaphyllum accedens,Lemmaphyllum accedens,Lemmaphyllum accedens,sp.,,,,,,,
Lepidium drummondii,SCIENTIFIC,Lepidium,drummondii,True,False,Lepidium drummondii,Lepidium drummondii,Lepidium drummondii,sp.,,,,,,,
Leucopogon cryptanthus,SCIENTIFIC,Leucopogon,cryptanthus,True,False,Leucopogon cryptanthus,Leucopogon cryptanthus,Leucopogon cryptanthus,sp.,,,,,,,
Lycopodium volubile = Pseudodiphasium volubile,DOUBTFUL,Lycopodium,volubile,True,False,Lycopodium volubile volubile,Lycopodium volubile morph volubile,Lycopodium volubile morph volubile,morph,volubile,,,,,,
Monogramma dareicarpa,SCIENTIFIC,Monogramma,dareicarpa,True,False,Monogramma dareicarpa,Monogramma dareicarpa,Monogramma dareicarpa,sp.,,,,,,,
Musa fitzalanii,SCIENTIFIC,Musa,fitzalanii,True,False,Musa fitzalanii,Musa fitzalanii,Musa fitzalanii,sp.,,,,,,,
Myriocephalus nudus,SCIENTIFIC,Myriocephalus,nudus,True,False,Myriocephalus nudus,Myriocephalus nudus,Myriocephalus nudus,sp.,,,,,,,
Olearia oliganthema,SCIENTIFIC,Olearia,oliganthema,True,False,Olearia oliganthema,Olearia oliganthema,Olearia oliganthema,sp.,,,,,,,
Opercularia acolytantha,SCIENTIFIC,Opercularia,acolytantha,True,False,Opercularia acolytantha,Opercularia acolytantha,Opercularia acolytantha,sp.,,,,,,,
Ozothamnus selaginoides,SCIENTIFIC,Ozothamnus,selaginoides,True,False,Ozothamnus selaginoides,Ozothamnus selaginoides,Ozothamnus selaginoides,sp.,,,,,,,
Paspalum batianoffii,SCIENTIFIC,Paspalum,batianoffii,True,False,Paspalum batianoffii,Paspalum batianoffii,Paspalum batianoffii,sp.,,,,,,,
Persoonia laxa,SCIENTIFIC,Persoonia,laxa,True,False,Persoonia laxa,Persoonia laxa,Persoonia laxa,sp.,,,,,,,
Persoonia prostrata,SCIENTIFIC,Persoonia,prostrata,True,False,Persoonia prostrata,Persoonia prostrata,Persoonia prostrata,sp.,,,,,,,
Pultenaea maidenii,SCIENTIFIC,Pultenaea,maidenii,True,False,Pultenaea maidenii,Pultenaea maidenii,Pultenaea maidenii,sp.,,,,,,,
Senecio georgianus,SCIENTIFIC,Senecio,georgianus,True,False,Senecio georgianus,Senecio georgianus,Senecio georgianus,sp.,,,,,,,
Solanum bauerianum,SCIENTIFIC,Solanum,bauerianum,True,False,Solanum bauerianum,Solanum bauerianum,Solanum bauerianum,sp.,,,,,,,
Tetratheca fasciculata,SCIENTIFIC,Tetratheca,fasciculata,True,False,Tetratheca fasciculata,Tetratheca fasciculata,Tetratheca fasciculata,sp.,,,,,,,
Thomasia gardneri,SCIENTIFIC,Thomasia,gardneri,True,False,Thomasia gardneri,Thomasia gardneri,Thomasia gardneri,sp.,,,,,,,
Tmesipteris lanceolata,SCIENTIFIC,Tmesipteris,lanceolata,True,False,Tmesipteris lanceolata,Tmesipteris lanceolata,Tmesipteris lanceolata,sp.,,,,,,,
Trianthema cypseleoides,SCIENTIFIC,Trianthema,cypseleoides,True,False,Trianthema cypseleoides,Trianthema cypseleoides,Trianthema cypseleoides,sp.,,,,,,,
Vanvoorstia bennettiana,SCIENTIFIC,Vanvoorstia,bennettiana,True,False,Vanvoorstia bennettiana,Vanvoorstia bennettiana,Vanvoorstia bennettiana,sp.,,,,,,,
Abutilon julianae,SCIENTIFIC,Abutilon,julianae,True,False,Abutilon julianae,Abutilon julianae,Abutilon julianae,sp.,,,,,,,
Acacia blayana,SCIENTIFIC,Acacia,blayana,True,False,Acacia blayana,Acacia blayana,Acacia blayana,sp.,,,,,,,
Acacia cochlocarpa subsp. velutinosa,SCIENTIFIC,Acacia,cochlocarpa,True,False,Acacia cochlocarpa velutinosa,Acacia cochlocarpa subsp. velutinosa,Acacia cochlocarpa subsp. velutinosa,subsp.,velutinosa,,,,,,
Acacia constablei,SCIENTIFIC,Acacia,constablei,True,False,Acacia constablei,Acacia constablei,Acacia constablei,sp.,,,,,,,
Acacia dangarensis,SCIENTIFIC,Acacia,dangarensis,True,False,Acacia dangarensis,Acacia dangarensis,Acacia dangarensis,sp.,,,,,,,
Acacia equisetifolia,SCIENTIFIC,Acacia,equisetifolia,True,False,Acacia equisetifolia,Acacia equisetifolia,Acacia equisetifolia,sp.,,,,,,,
Acacia leptoneura,SCIENTIFIC,Acacia,leptoneura,True,False,Acacia leptoneura,Acacia leptoneura,Acacia leptoneura,sp.,,,,,,,
Acacia purpureopetala,SCIENTIFIC,Acacia,purpureopetala,True,False,Acacia purpureopetala,Acacia purpureopetala,Acacia purpureopetala,sp.,,,,,,,
Acacia unguicula,SCIENTIFIC,Acacia,unguicula,True,False,Acacia unguicula,Acacia unguicula,Acacia unguicula,sp.,,,,,,,
Acanthocladium dockeri,SCIENTIFIC,Acanthocladium,dockeri,True,False,Acanthocladium dockeri,Acanthocladium dockeri,Acanthocladium dockeri,sp.,,,,,,,
Achyranthes arborescens,SCIENTIFIC,Achyranthes,arborescens,True,False,Achyranthes arborescens,Achyranthes arborescens,Achyranthes arborescens,sp.,,,,,,,
Achyranthes margaretarum,SCIENTIFIC,Achyranthes,margaretarum,True,False,Achyranthes margaretarum,Achyranthes margaretarum,Achyranthes margaretarum,sp.,,,,,,,
Andersonia annelsii,SCIENTIFIC,Andersonia,annelsii,True,False,Andersonia annelsii,Andersonia annelsii,Andersonia annelsii,sp.,,,,,,,
Andersonia axilliflora,SCIENTIFIC,Andersonia,axilliflora,True,False,Andersonia axilliflora,Andersonia axilliflora,Andersonia axilliflora,sp.,,,,,,,
Androcalva adenothalia,SCIENTIFIC,Androcalva,adenothalia,True,False,Androcalva adenothalia,Androcalva adenothalia,Androcalva adenothalia,sp.,,,,,,,
Androcalva bivillosa,SCIENTIFIC,Androcalva,bivillosa,True,False,Androcalva bivillosa,Androcalva bivillosa,Androcalva bivillosa,sp.,,,,,,,
Androcalva perkinsiana,SCIENTIFIC,Androcalva,perkinsiana,True,False,Androcalva perkinsiana,Androcalva perkinsiana,Androcalva perkinsiana,sp.,,,,,,,
Anthosachne kingiana subsp. kingiana,SCIENTIFIC,Anthosachne,kingiana,True,False,Anthosachne kingiana kingiana,Anthosachne kingiana subsp. kingiana,Anthosachne kingiana subsp. kingiana,subsp.,kingiana,,,,,,
Antrophyum austroqueenslandicum,SCIENTIFIC,Antrophyum,austroqueenslandicum,True,False,Antrophyum austroqueenslandicum,Antrophyum austroqueenslandicum,Antrophyum austroqueenslandicum,sp.,,,,,,,
Asplenium listeri,SCIENTIFIC,Asplenium,listeri,True,False,Asplenium listeri,Asplenium listeri,Asplenium listeri,sp.,,,,,,,
Asterolasia asteriscophora subsp. albiflora,SCIENTIFIC,Asterolasia,asteriscophora,True,False,Asterolasia asteriscophora albiflora,Asterolasia asteriscophora subsp. albiflora,Asterolasia asteriscophora subsp. albiflora,subsp.,albiflora,,,,,,
Asterolasia beckersii,SCIENTIFIC,Asterolasia,beckersii,True,False,Asterolasia beckersii,Asterolasia beckersii,Asterolasia beckersii,sp.,,,,,,,
Asterolasia buxifolia,SCIENTIFIC,Asterolasia,buxifolia,True,False,Asterolasia buxifolia,Asterolasia buxifolia,Asterolasia buxifolia,sp.,,,,,,,
Atalaya brevialata,SCIENTIFIC,Atalaya,brevialata,True,False,Atalaya brevialata,Atalaya brevialata,Atalaya brevialata,sp.,,,,,,,
Austrostipa jacobsiana,SCIENTIFIC,Austrostipa,jacobsiana,True,False,Austrostipa jacobsiana,Austrostipa jacobsiana,Austrostipa jacobsiana,sp.,,,,,,,
Azorella macquariensis,SCIENTIFIC,Azorella,macquariensis,True,False,Azorella macquariensis,Azorella macquariensis,Azorella macquariensis,sp.,,,,,,,
Banksia anatona,SCIENTIFIC,Banksia,anatona,True,False,Banksia anatona,Banksia anatona,Banksia anatona,sp.,,,,,,,
Banksia aurantia,SCIENTIFIC,Banksia,aurantia,True,False,Banksia aurantia,Banksia aurantia,Banksia aurantia,sp.,,,,,,,
Banksia brownii,SCIENTIFIC,Banksia,brownii,True,False,Banksia brownii,Banksia brownii,Banksia brownii,sp.,,,,,,,
Banksia fuscobractea,SCIENTIFIC,Banksia,fuscobractea,True,False,Banksia fuscobractea,Banksia fuscobractea,Banksia fuscobractea,sp.,,,,,,,
Banksia montana,SCIENTIFIC,Banksia,montana,True,False,Banksia montana,Banksia montana,Banksia montana,sp.,,,,,,,
Banksia serratuloides subsp. perissa,SCIENTIFIC,Banksia,serratuloides,True,False,Banksia serratuloides perissa,Banksia serratuloides subsp. perissa,Banksia serratuloides subsp. perissa,subsp.,perissa,,,,,,
Banksia vincentia,SCIENTIFIC,Banksia,vincentia,True,False,Banksia vincentia,Banksia vincentia,Banksia vincentia,sp.,,,,,,,
Boehmeria australis subsp. australis,SCIENTIFIC,Boehmeria,australis,True,False,Boehmeria australis australis,Boehmeria australis subsp. australis,Boehmeria australis subsp. australis,subsp.,australis,,,,,,
Boronia inflexa subsp. torringtonensis,SCIENTIFIC,Boronia,inflexa,True,False,Boronia inflexa torringtonensis,Boronia inflexa subsp. torringtonensis,Boronia inflexa subsp. torringtonensis,subsp.,torringtonensis,,,,,,
Bossiaea fragrans,SCIENTIFIC,Bossiaea,fragrans,True,False,Bossiaea fragrans,Bossiaea fragrans,Bossiaea fragrans,sp.,,,,,,,
Brachychiton sp. Ormeau (L.H.Bird AQ435851),INFORMAL,Brachychiton,,True,False,Brachychiton spec.,Brachychiton spec. Ormeau,Brachychiton spec. Ormeau,sp.,,,,,,Ormeau,
Brachyscias verecundus,SCIENTIFIC,Brachyscias,verecundus,True,False,Brachyscias verecundus,Brachyscias verecundus,Brachyscias verecundus,sp.,,,,,,,
Bruguiera x hainesii,SCIENTIFIC,Bruguiera,hainesii,True,False,Bruguiera hainesii,Bruguiera ×hainesii,Bruguiera ×hainesii,sp.,,,,,,,SPECIFIC
Caladenia actensis,SCIENTIFIC,Caladenia,actensis,True,False,Caladenia actensis,Caladenia actensis,Caladenia actensis,sp.,,,,,,,
Caladenia anthracina,SCIENTIFIC,Caladenia,anthracina,True,False,Caladenia anthracina,Caladenia anthracina,Caladenia anthracina,sp.,,,,,,,
