SPECIES_LUTO,TAXON,scientificName_x,canonicalName,Scientific Name,Endangered Status,scientificName_y,Endanger Status IUCN
Macropus_robustus,Mammals,Macropus_robustus,Macropus robustus,,,,
Macropus_rufus,Mammals,Macropus_rufus,Macropus rufus,,,,
Perameles_nasuta,Mammals,Perameles_nasuta,Perameles nasuta,,,,LC
Petaurus_australis,Mammals,Petaurus_australis,Petaurus australis,,,,NT
Petaurus_breviceps,Mammals,Petaurus_breviceps,Petaurus breviceps,,,,LC
Petaurus_gracilis,Mammals,Petaurus_gracilis,Petaurus gracilis,Petaurus gracilis,Endangered,Petaurus gracilis,EN
Petrogale_assimilis,Mammals,Petrogale_assimilis,Petrogale assimilis,,,,LC
Petrogale_brachyotis,Mammals,Petrogale_brachyotis,Petrogale brachyotis,,,,LC
Petrogale_concinna,Mammals,Petrogale_concinna,Petrogale concinna,,,,EN
Petrogale_godmani,Mammals,Petrogale_godmani,Petrogale godmani,,,,NT
Petrogale_herberti,Mammals,Petrogale_herberti,Petrogale herberti,,,,LC
Petrogale_inornata,Mammals,Petrogale_inornata,Petrogale inornata,,,,LC
Petrogale_mareeba,Mammals,Petrogale_mareeba,Petrogale mareeba,,,,NT
Petrogale_penicillata,Mammals,Petrogale_penicillata,Petrogale penicillata,Petrogale penicillata,Vulnerable,Petrogale penicillata,VU
Petrogale_persephone,Mammals,Petrogale_persephone,Petrogale persephone,Petrogale persephone,Endangered,Petrogale persephone,EN
Petrogale_purpureicollis,Mammals,Petrogale_purpureicollis,Petrogale purpureicollis,,,,NT
Petrogale_rothschildi,Mammals,Petrogale_rothschildi,Petrogale rothschildi,,,,LC
Petrogale_sharmani,Mammals,Petrogale_sharmani,Petrogale sharmani,Petrogale sharmani,Vulnerable,Petrogale sharmani,VU
Petrogale_xanthopus,Mammals,Petrogale_xanthopus,Petrogale xanthopus,,,,NT
Petropseudes_dahli,Mammals,Petropseudes_dahli,Petropseudes dahli,,,,LC
Phascogale_calura,Mammals,Phascogale_calura,Phascogale calura,Phascogale calura,Vulnerable,Phascogale calura,NT
Phascogale_pirata,Mammals,Phascogale_pirata,Phascogale pirata,Phascogale pirata,Vulnerable,Phascogale pirata,VU
Phascolarctos_cinereus,Mammals,Phascolarctos_cinereus,Phascolarctos cinereus,,,,VU
Pipistrellus_adamsi,Mammals,Pipistrellus_adamsi,Pipistrellus adamsi,,,,LC
Pipistrellus_westralis,Mammals,Pipistrellus_westralis,Pipistrellus westralis,,,,LC
Planigale_gilesi,Mammals,Planigale_gilesi,Planigale gilesi,,,,LC
Planigale_ingrami,Mammals,Planigale_ingrami,Planigale ingrami,,,,LC
Potorous_longipes,Mammals,Potorous_longipes,Potorous longipes,Potorous longipes,Endangered,Potorous longipes,VU
Potorous_tridactylus,Mammals,Potorous_tridactylus,Potorous tridactylus,,,,NT
Pseudantechinus_bilarni,Mammals,Pseudantechinus_bilarni,Pseudantechinus bilarni,,,,LC
Pseudantechinus_macdonnellensis,Mammals,Pseudantechinus_macdonnellensis,Pseudantechinus macdonnellensis,,,,LC
Pseudantechinus_ningbing,Mammals,Pseudantechinus_ningbing,Pseudantechinus ningbing,,,,LC
Pseudocheirus_peregrinus,Mammals,Pseudocheirus_peregrinus,Pseudocheirus peregrinus,,,,LC
Pseudochirops_archeri,Mammals,Pseudochirops_archeri,Pseudochirops archeri,,,,NT
Pseudochirulus_cinereus,Mammals,Pseudochirulus_cinereus,Pseudochirulus cinereus,,,,NT
Pseudomys_apodemoides,Mammals,Pseudomys_apodemoides,Pseudomys apodemoides,,,,LC
Pseudomys_australis,Mammals,Pseudomys_australis,Pseudomys australis,Pseudomys australis,Vulnerable,Pseudomys australis,VU
Pseudomys_bolami,Mammals,Pseudomys_bolami,Pseudomys bolami,,,,LC
Pseudomys_calabyi,Mammals,Pseudomys_calabyi,Pseudomys calabyi,,,,VU
Pseudomys_delicatulus,Mammals,Pseudomys_delicatulus,Pseudomys delicatulus,,,,LC
Pseudomys_fumeus,Mammals,Pseudomys_fumeus,Pseudomys fumeus,Pseudomys fumeus,Endangered,Pseudomys fumeus,VU
Pseudomys_higginsi,Mammals,Pseudomys_higginsi,Pseudomys higginsi,,,,LC
Pseudomys_johnsoni,Mammals,Pseudomys_johnsoni,Pseudomys johnsoni,,,,LC
Pseudomys_nanus,Mammals,Pseudomys_nanus,Pseudomys nanus,,,,LC
Pseudomys_occidentalis,Mammals,Pseudomys_occidentalis,Pseudomys occidentalis,,,,NT
Pseudomys_oralis,Mammals,Pseudomys_oralis,Pseudomys oralis,Pseudomys oralis,Endangered,Pseudomys oralis,VU
Pseudomys_pilligaensis,Mammals,Pseudomys_pilligaensis,Pseudomys pilligaensis,Pseudomys pilligaensis,Vulnerable,Pseudomys pilligaensis,DD
Pseudomys_shortridgei,Mammals,Pseudomys_shortridgei,Pseudomys shortridgei,Pseudomys shortridgei,Endangered,Pseudomys shortridgei,NT
Pteropus_alecto,Mammals,Pteropus_alecto,Pteropus alecto,,,,LC
Pteropus_conspicillatus,Mammals,Pteropus_conspicillatus,Pteropus conspicillatus,Pteropus conspicillatus,Endangered,Pteropus conspicillatus,EN
Pteropus_poliocephalus,Mammals,Pteropus_poliocephalus,Pteropus poliocephalus,Pteropus poliocephalus,Vulnerable,Pteropus poliocephalus,VU
Rattus_colletti,Mammals,Rattus_colletti,Rattus colletti,,,,LC
Rattus_leucopus,Mammals,Rattus_leucopus,Rattus leucopus,,,,LC
Rattus_lutreolus,Mammals,Rattus_lutreolus,Rattus lutreolus,,,,LC
Rattus_sordidus,Mammals,Rattus_sordidus,Rattus sordidus,,,,LC
Rattus_tunneyi,Mammals,Rattus_tunneyi,Rattus tunneyi,,,,LC
Rattus_villosissimus,Mammals,Rattus_villosissimus,Rattus villosissimus,,,,LC
Rhinolophus_philippinensis,Mammals,Rhinolophus_philippinensis,Rhinolophus philippinensis,,,,LC
Rhinonicteris_aurantia,Mammals,Rhinonicteris_aurantia,Rhinonicteris aurantia,Rhinonicteris aurantia (Pilbara form),Vulnerable,Rhinonicteris aurantia (Pilbara form),LC
Saccolaimus_flaviventris,Mammals,Saccolaimus_flaviventris,Saccolaimus flaviventris,,,,LC
Sarcophilus_harrisii,Mammals,Sarcophilus_harrisii,Sarcophilus harrisii,Sarcophilus harrisii,Endangered,Sarcophilus harrisii,EN
Scotorepens_balstoni,Mammals,Scotorepens_balstoni,Scotorepens balstoni,,,,LC
Scotorepens_sanborni,Mammals,Scotorepens_sanborni,Scotorepens sanborni,,,,LC
Setonix_brachyurus,Mammals,Setonix_brachyurus,Setonix brachyurus,Setonix brachyurus,Vulnerable,Setonix brachyurus,VU
Sminthopsis_aitkeni,Mammals,Sminthopsis_aitkeni,Sminthopsis aitkeni,,,,
Sminthopsis_bindi,Mammals,Sminthopsis_bindi,Sminthopsis bindi,,,,NT
Sminthopsis_butleri,Mammals,Sminthopsis_butleri,Sminthopsis butleri,Sminthopsis butleri,Vulnerable,Sminthopsis butleri,VU
Sminthopsis_crassicaudata,Mammals,Sminthopsis_crassicaudata,Sminthopsis crassicaudata,,,,LC
Sminthopsis_dolichura,Mammals,Sminthopsis_dolichura,Sminthopsis dolichura,,,,LC
Sminthopsis_griseoventer,Mammals,Sminthopsis_griseoventer,Sminthopsis griseoventer,,,,LC
Sminthopsis_gilberti,Mammals,Sminthopsis_gilberti,Sminthopsis gilberti,,,,LC
Sminthopsis_leucopus,Mammals,Sminthopsis_leucopus,Sminthopsis leucopus,,,,LC
Sminthopsis_longicaudata,Mammals,Sminthopsis_longicaudata,Sminthopsis longicaudata,,,,LC
Sminthopsis_macroura,Mammals,Sminthopsis_macroura,Sminthopsis macroura,,,,LC
Sminthopsis_murina,Mammals,Sminthopsis_murina,Sminthopsis murina,,,,LC
Sminthopsis_ooldea,Mammals,Sminthopsis_ooldea,Sminthopsis ooldea,,,,LC
Sminthopsis_psammophila,Mammals,Sminthopsis_psammophila,Sminthopsis psammophila,Sminthopsis psammophila,Endangered,Sminthopsis psammophila,VU
Sminthopsis_virginiae,Mammals,Sminthopsis_virginiae,Sminthopsis virginiae,,,,LC
Spilocuscus_maculatus,Mammals,Spilocuscus_maculatus,Spilocuscus maculatus,,,,LC
Tachyglossus_aculeatus,Mammals,Tachyglossus_aculeatus,Tachyglossus aculeatus,,,,LC
Taphozous_australis,Mammals,Taphozous_australis,Taphozous australis,,,,NT
Taphozous_hilli,Mammals,Taphozous_hilli,Taphozous hilli,,,,LC
Taphozous_kapalgensis,Mammals,Taphozous_kapalgensis,Taphozous kapalgensis,,,,LC
Thylogale_billardierii,Mammals,Thylogale_billardierii,Thylogale billardierii,,,,LC
Thylogale_stigmatica,Mammals,Thylogale_stigmatica,Thylogale stigmatica,,,,LC
Thylogale_thetis,Mammals,Thylogale_thetis,Thylogale thetis,,,,LC
Trichosurus_caninus,Mammals,Trichosurus_caninus,Trichosurus caninus,,,,LC
Uromys_caudimaculatus,Mammals,Uromys_caudimaculatus,Uromys caudimaculatus,,,,LC
Uromys_hadrourus,Mammals,Uromys_hadrourus,Uromys hadrourus,,,,NT
Vespadelus_baverstocki,Mammals,Vespadelus_baverstocki,Vespadelus baverstocki,,,,LC
Vespadelus_caurinus,Mammals,Vespadelus_caurinus,Vespadelus caurinus,,,,LC
Vespadelus_darlingtoni,Mammals,Vespadelus_darlingtoni,Vespadelus darlingtoni,,,,LC
Vespadelus_douglasorum,Mammals,Vespadelus_douglasorum,Vespadelus douglasorum,,,,LC
Vespadelus_pumilus,Mammals,Vespadelus_pumilus,Vespadelus pumilus,,,,LC
Vespadelus_regulus,Mammals,Vespadelus_regulus,Vespadelus regulus,,,,LC
Vespadelus_troughtoni,Mammals,Vespadelus_troughtoni,Vespadelus troughtoni,,,,LC
Vombatus_ursinus,Mammals,Vombatus_ursinus,Vombatus ursinus,,,,LC
Xeromys_myoides,Mammals,Xeromys_myoides,Xeromys myoides,Xeromys myoides,Vulnerable,Xeromys myoides,VU
Zyzomys_maini,Mammals,Zyzomys_maini,Zyzomys maini,Zyzomys maini,Vulnerable,Zyzomys maini,VU
Zyzomys_palatalis,Mammals,Zyzomys_palatalis,Zyzomys palatalis,Zyzomys palatalis,Endangered,Zyzomys palatalis,CR
Zyzomys_pedunculatus,Mammals,Zyzomys_pedunculatus,Zyzomys pedunculatus,Zyzomys pedunculatus,Critically,Zyzomys pedunculatus,CR
Zyzomys_woodwardi,Mammals,Zyzomys_woodwardi,Zyzomys woodwardi,,,,LC
Acanthophis_antarcticus,Reptiles,Acanthophis_antarcticus,Acanthophis antarcticus,,,,LC
Acanthophis_praelongus,Reptiles,Acanthophis_praelongus,Acanthophis praelongus,,,,LC
Acanthophis_pyrrhus,Reptiles,Acanthophis_pyrrhus,Acanthophis pyrrhus,,,,LC
Acritoscincus_duperreyi,Reptiles,Acritoscincus_duperreyi,Acritoscincus duperreyi,,,,LC
Acritoscincus_trilineata,Reptiles,Acritoscincus_trilineata,Acritoscincus trilineata,,,,
Acrochordus_arafurae,Reptiles,Acrochordus_arafurae,Acrochordus arafurae,,,,LC
Oedura_lesueurii,Reptiles,Oedura_lesueurii,Oedura lesueurii,,,,
Lophognathus_burnsi,Reptiles,Lophognathus_burnsi,Lophognathus burnsi,,,,
Amphibolurus_muricatus,Reptiles,Amphibolurus_muricatus,Amphibolurus muricatus,,,,LC
Amphibolurus_norrisi,Reptiles,Amphibolurus_norrisi,Amphibolurus norrisi,,,,LC
Anepischetosia_maccoyi,Reptiles,Anepischetosia_maccoyi,Anepischetosia maccoyi,,,,LC
Ramphotyphlops_affinis,Reptiles,Ramphotyphlops_affinis,Ramphotyphlops affinis,,,,
Ramphotyphlops_australis,Reptiles,Ramphotyphlops_australis,Ramphotyphlops australis,,,,
Ramphotyphlops_bicolor,Reptiles,Ramphotyphlops_bicolor,Ramphotyphlops bicolor,,,,
Ramphotyphlops_bituberculatus,Reptiles,Ramphotyphlops_bituberculatus,Ramphotyphlops bituberculatus,,,,
Ramphotyphlops_centralis,Reptiles,Ramphotyphlops_centralis,Ramphotyphlops centralis,,,,
Ramphotyphlops_diversus,Reptiles,Ramphotyphlops_diversus,Ramphotyphlops diversus,,,,
Ramphotyphlops_endoterus,Reptiles,Ramphotyphlops_endoterus,Ramphotyphlops endoterus,,,,
Ramphotyphlops_grypus,Reptiles,Ramphotyphlops_grypus,Ramphotyphlops grypus,,,,
Ramphotyphlops_guentheri,Reptiles,Ramphotyphlops_guentheri,Ramphotyphlops guentheri,,,,
Ramphotyphlops_kimberleyensis,Reptiles,Ramphotyphlops_kimberleyensis,Ramphotyphlops kimberleyensis,,,,
Ramphotyphlops_ligatus,Reptiles,Ramphotyphlops_ligatus,Ramphotyphlops ligatus,,,,
Ramphotyphlops_nigrescens,Reptiles,Ramphotyphlops_nigrescens,Ramphotyphlops nigrescens,,,,
Ramphotyphlops_proximus,Reptiles,Ramphotyphlops_proximus,Ramphotyphlops proximus,,,,
Ramphotyphlops_polygrammicus,Reptiles,Ramphotyphlops_polygrammicus,Ramphotyphlops polygrammicus,,,,
Ramphotyphlops_tovelli,Reptiles,Ramphotyphlops_tovelli,Ramphotyphlops tovelli,,,,
Ramphotyphlops_unguirostris,Reptiles,Ramphotyphlops_unguirostris,Ramphotyphlops unguirostris,,,,
Ramphotyphlops_waitii,Reptiles,Ramphotyphlops_waitii,Ramphotyphlops waitii,,,,
Ramphotyphlops_wiedii,Reptiles,Ramphotyphlops_wiedii,Ramphotyphlops wiedii,,,,
Anomalopus_brevicollis,Reptiles,Anomalopus_brevicollis,Anomalopus brevicollis,,,,
Anomalopus_gowi,Reptiles,Anomalopus_gowi,Anomalopus gowi,,,,
Anomalopus_leuckartii,Reptiles,Anomalopus_leuckartii,Anomalopus leuckartii,,,,LC
Anomalopus_mackayi,Reptiles,Anomalopus_mackayi,Anomalopus mackayi,Anomalopus mackayi,Vulnerable,Anomalopus mackayi,LC
Anomalopus_swansoni,Reptiles,Anomalopus_swansoni,Anomalopus swansoni,,,,LC
Anomalopus_verreauxii,Reptiles,Anomalopus_verreauxii,Anomalopus verreauxii,,,,LC
Antaresia_childreni,Reptiles,Antaresia_childreni,Antaresia childreni,,,,LC
Antaresia_maculosa,Reptiles,Antaresia_maculosa,Antaresia maculosa,,,,LC
Antaresia_perthensis,Reptiles,Antaresia_perthensis,Antaresia perthensis,,,,LC
Antaresia_stimsoni,Reptiles,Antaresia_stimsoni,Antaresia stimsoni,,,,LC
Aprasia_aurita,Reptiles,Aprasia_aurita,Aprasia aurita,,,,NT
Aprasia_inaurita,Reptiles,Aprasia_inaurita,Aprasia inaurita,,,,LC
Aprasia_parapulchella,Reptiles,Aprasia_parapulchella,Aprasia parapulchella,Aprasia parapulchella,Vulnerable,Aprasia parapulchella,LC
Aprasia_striolata,Reptiles,Aprasia_striolata,Aprasia striolata,,,,LC
Aspidites_melanocephalus,Reptiles,Aspidites_melanocephalus,Aspidites melanocephalus,,,,LC
Austrelaps_labialis,Reptiles,Austrelaps_labialis,Austrelaps labialis,,,,LC
Austrelaps_ramsayi,Reptiles,Austrelaps_ramsayi,Austrelaps ramsayi,,,,LC
Austrelaps_superbus,Reptiles,Austrelaps_superbus,Austrelaps superbus,,,,LC
Bellatorias_frerei,Reptiles,Bellatorias_frerei,Bellatorias frerei,,,,LC
Bellatorias_major,Reptiles,Bellatorias_major,Bellatorias major,,,,LC
Bellatorias_obiri,Reptiles,Bellatorias_obiri,Bellatorias obiri,Bellatorias obiri,Endangered,Bellatorias obiri,CR
Brachyurophis_australis,Reptiles,Brachyurophis_australis,Brachyurophis australis,,,,LC
Brachyurophis_fasciolatus,Reptiles,Brachyurophis_fasciolatus,Brachyurophis fasciolatus,,,,LC
Brachyurophis_incinctus,Reptiles,Brachyurophis_incinctus,Brachyurophis incinctus,,,,LC
Brachyurophis_roperi,Reptiles,Brachyurophis_roperi,Brachyurophis roperi,,,,LC
Cacophis_churchilli,Reptiles,Cacophis_churchilli,Cacophis churchilli,,,,LC
Cacophis_harriettae,Reptiles,Cacophis_harriettae,Cacophis harriettae,,,,LC
Cacophis_squamulosus,Reptiles,Cacophis_squamulosus,Cacophis squamulosus,,,,LC
Calyptotis_lepidorostrum,Reptiles,Calyptotis_lepidorostrum,Calyptotis lepidorostrum,,,,LC
Calyptotis_ruficauda,Reptiles,Calyptotis_ruficauda,Calyptotis ruficauda,,,,LC
Calyptotis_scutirostrum,Reptiles,Calyptotis_scutirostrum,Calyptotis scutirostrum,,,,LC
Calyptotis_temporalis,Reptiles,Calyptotis_temporalis,Calyptotis temporalis,,,,LC
Carlia_amax,Reptiles,Carlia_amax,Carlia amax,,,,LC
Carlia_gracilis,Reptiles,Carlia_gracilis,Carlia gracilis,,,,LC
Carlia_jarnoldae,Reptiles,Carlia_jarnoldae,Carlia jarnoldae,,,,LC
Carlia_johnstonei,Reptiles,Carlia_johnstonei,Carlia johnstonei,,,,LC
Carlia_longipes,Reptiles,Carlia_longipes,Carlia longipes,,,,LC
Carlia_pectoralis,Reptiles,Carlia_pectoralis,Carlia pectoralis,,,,LC
Carlia_rhomboidalis,Reptiles,Carlia_rhomboidalis,Carlia rhomboidalis,,,,LC
Carlia_rimula,Reptiles,Carlia_rimula,Carlia rimula,,,,
Carlia_rostralis,Reptiles,Carlia_rostralis,Carlia rostralis,,,,LC
Carlia_rubrigularis,Reptiles,Carlia_rubrigularis,Carlia rubrigularis,,,,LC
Carlia_schmeltzii,Reptiles,Carlia_schmeltzii,Carlia schmeltzii,,,,LC
Carlia_storri,Reptiles,Carlia_storri,Carlia storri,,,,LC
Carlia_tetradactyla,Reptiles,Carlia_tetradactyla,Carlia tetradactyla,,,,LC
Carlia_vivax,Reptiles,Carlia_vivax,Carlia vivax,,,,LC
Carphodactylus_laevis,Reptiles,Carphodactylus_laevis,Carphodactylus laevis,,,,LC
Chelosania_brunnea,Reptiles,Chelosania_brunnea,Chelosania brunnea,,,,DD
Chlamydosaurus_kingii,Reptiles,Chlamydosaurus_kingii,Chlamydosaurus kingii,,,,LC
Christinus_alexanderi,Reptiles,Christinus_alexanderi,Christinus alexanderi,,,,LC
Christinus_marmoratus,Reptiles,Christinus_marmoratus,Christinus marmoratus,,,,LC
Coeranoscincus_frontalis,Reptiles,Coeranoscincus_frontalis,Coeranoscincus frontalis,,,,LC
Coeranoscincus_reticulatus,Reptiles,Coeranoscincus_reticulatus,Coeranoscincus reticulatus,Coeranoscincus reticulatus,Vulnerable,Coeranoscincus reticulatus,LC
Crenadactylus_ocellatus,Reptiles,Crenadactylus_ocellatus,Crenadactylus ocellatus,,,,LC
Cryptoblepharus_litoralis,Reptiles,Cryptoblepharus_litoralis,Cryptoblepharus litoralis,,,,LC
Cryptoblepharus_ochrus,Reptiles,Cryptoblepharus_ochrus,Cryptoblepharus ochrus,,,,LC
Cryptoblepharus_pannosus,Reptiles,Cryptoblepharus_pannosus,Cryptoblepharus pannosus,,,,LC
Cryptoblepharus_pulcher,Reptiles,Cryptoblepharus_pulcher,Cryptoblepharus pulcher,,,,LC
Cryptoblepharus_ruber,Reptiles,Cryptoblepharus_ruber,Cryptoblepharus ruber,,,,LC
Cryptophis_boschmai,Reptiles,Cryptophis_boschmai,Cryptophis boschmai,,,,LC
Cryptophis_nigrescens,Reptiles,Cryptophis_nigrescens,Cryptophis nigrescens,,,,LC
Cryptophis_nigrostriatus,Reptiles,Cryptophis_nigrostriatus,Cryptophis nigrostriatus,,,,LC
Cryptophis_pallidiceps,Reptiles,Cryptophis_pallidiceps,Cryptophis pallidiceps,,,,LC
Ctenophorus_caudicinctus,Reptiles,Ctenophorus_caudicinctus,Ctenophorus caudicinctus,,,,LC
Ctenophorus_clayi,Reptiles,Ctenophorus_clayi,Ctenophorus clayi,,,,LC
Ctenophorus_cristatus,Reptiles,Ctenophorus_cristatus,Ctenophorus cristatus,,,,LC
Ctenophorus_femoralis,Reptiles,Ctenophorus_femoralis,Ctenophorus femoralis,,,,LC
Ctenophorus_fionni,Reptiles,Ctenophorus_fionni,Ctenophorus fionni,,,,LC
Ctenophorus_fordi,Reptiles,Ctenophorus_fordi,Ctenophorus fordi,,,,LC
Ctenophorus_gibba,Reptiles,Ctenophorus_gibba,Ctenophorus gibba,,,,LC
Ctenophorus_isolepis,Reptiles,Ctenophorus_isolepis,Ctenophorus isolepis,,,,LC
Ctenophorus_maculatus,Reptiles,Ctenophorus_maculatus,Ctenophorus maculatus,,,,LC
Ctenophorus_mckenziei,Reptiles,Ctenophorus_mckenziei,Ctenophorus mckenziei,,,,LC
Ctenophorus_nuchalis,Reptiles,Ctenophorus_nuchalis,Ctenophorus nuchalis,,,,LC
Ctenophorus_ornatus,Reptiles,Ctenophorus_ornatus,Ctenophorus ornatus,,,,LC
Ctenophorus_parviceps,Reptiles,Ctenophorus_parviceps,Ctenophorus parviceps,,,,LC
Ctenophorus_pictus,Reptiles,Ctenophorus_pictus,Ctenophorus pictus,,,,LC
Ctenophorus_rufescens,Reptiles,Ctenophorus_rufescens,Ctenophorus rufescens,,,,LC
Ctenophorus_salinarum,Reptiles,Ctenophorus_salinarum,Ctenophorus salinarum,,,,LC
Ctenophorus_scutulatus,Reptiles,Ctenophorus_scutulatus,Ctenophorus scutulatus,,,,LC
Ctenophorus_tjantjalka,Reptiles,Ctenophorus_tjantjalka,Ctenophorus tjantjalka,,,,LC
Ctenophorus_vadnappa,Reptiles,Ctenophorus_vadnappa,Ctenophorus vadnappa,,,,LC
Ctenotus_alacer,Reptiles,Ctenotus_alacer,Ctenotus alacer,,,,LC
Ctenotus_allotropis,Reptiles,Ctenotus_allotropis,Ctenotus allotropis,,,,LC
Ctenotus_ariadnae,Reptiles,Ctenotus_ariadnae,Ctenotus ariadnae,,,,LC
Ctenotus_arnhemensis,Reptiles,Ctenotus_arnhemensis,Ctenotus arnhemensis,,,,LC
Ctenotus_astarte,Reptiles,Ctenotus_astarte,Ctenotus astarte,,,,LC
Ctenotus_astictus,Reptiles,Ctenotus_astictus,Ctenotus astictus,,,,LC
Ctenotus_atlas,Reptiles,Ctenotus_atlas,Ctenotus atlas,,,,LC
Ctenotus_borealis,Reptiles,Ctenotus_borealis,Ctenotus borealis,,,,LC
Ctenotus_brevipes,Reptiles,Ctenotus_brevipes,Ctenotus brevipes,,,,LC
Ctenotus_brooksi,Reptiles,Ctenotus_brooksi,Ctenotus brooksi,,,,LC
Ctenotus_calurus,Reptiles,Ctenotus_calurus,Ctenotus calurus,,,,LC
Ctenotus_catenifer,Reptiles,Ctenotus_catenifer,Ctenotus catenifer,,,,LC
Ctenotus_coggeri,Reptiles,Ctenotus_coggeri,Ctenotus coggeri,,,,LC
Ctenotus_decaneurus,Reptiles,Ctenotus_decaneurus,Ctenotus decaneurus,,,,LC
Ctenotus_dux,Reptiles,Ctenotus_dux,Ctenotus dux,,,,LC
Ctenotus_essingtonii,Reptiles,Ctenotus_essingtonii,Ctenotus essingtonii,,,,LC
Ctenotus_euclae,Reptiles,Ctenotus_euclae,Ctenotus euclae,,,,LC
Ctenotus_eurydice,Reptiles,Ctenotus_eurydice,Ctenotus eurydice,,,,LC
Ctenotus_fallens,Reptiles,Ctenotus_fallens,Ctenotus fallens,,,,LC
Ctenotus_gagudju,Reptiles,Ctenotus_gagudju,Ctenotus gagudju,,,,LC
Ctenotus_grandis,Reptiles,Ctenotus_grandis,Ctenotus grandis,,,,LC
Ctenotus_hanloni,Reptiles,Ctenotus_hanloni,Ctenotus hanloni,,,,LC
Ctenotus_hebetior,Reptiles,Ctenotus_hebetior,Ctenotus hebetior,,,,LC
Ctenotus_hilli,Reptiles,Ctenotus_hilli,Ctenotus hilli,,,,LC
Ctenotus_impar,Reptiles,Ctenotus_impar,Ctenotus impar,,,,LC
Ctenotus_ingrami,Reptiles,Ctenotus_ingrami,Ctenotus ingrami,,,,LC
Ctenotus_inornatus,Reptiles,Ctenotus_inornatus,Ctenotus inornatus,,,,LC
Ctenotus_joanae,Reptiles,Ctenotus_joanae,Ctenotus joanae,,,,LC
Ctenotus_kurnbudj,Reptiles,Ctenotus_kurnbudj,Ctenotus kurnbudj,,,,EN
Ctenotus_leae,Reptiles,Ctenotus_leae,Ctenotus leae,,,,LC
Ctenotus_leonhardii,Reptiles,Ctenotus_leonhardii,Ctenotus leonhardii,,,,LC
Ctenotus_militaris,Reptiles,Ctenotus_militaris,Ctenotus militaris,,,,LC
Ctenotus_mimetes,Reptiles,Ctenotus_mimetes,Ctenotus mimetes,,,,LC
Ctenotus_nasutus,Reptiles,Ctenotus_nasutus,Ctenotus nasutus,,,,LC
Ctenotus_olympicus,Reptiles,Ctenotus_olympicus,Ctenotus olympicus,,,,LC
Ctenotus_orientalis,Reptiles,Ctenotus_orientalis,Ctenotus orientalis,,,,LC
Ctenotus_pallescens,Reptiles,Ctenotus_pallescens,Ctenotus pallescens,,,,LC
Ctenotus_pantherinus,Reptiles,Ctenotus_pantherinus,Ctenotus pantherinus,,,,LC
Ctenotus_pulchellus,Reptiles,Ctenotus_pulchellus,Ctenotus pulchellus,,,,LC
Ctenotus_quattuordecimlineatus,Reptiles,Ctenotus_quattuordecimlineatus,Ctenotus quattuordecimlineatus,,,,LC
Ctenotus_regius,Reptiles,Ctenotus_regius,Ctenotus regius,,,,LC
Ctenotus_rimacolus,Reptiles,Ctenotus_rimacolus,Ctenotus rimacolus,,,,LC
Ctenotus_robustus,Reptiles,Ctenotus_robustus,Ctenotus robustus,,,,LC
Ctenotus_schomburgkii,Reptiles,Ctenotus_schomburgkii,Ctenotus schomburgkii,,,,LC
Ctenotus_septenarius,Reptiles,Ctenotus_septenarius,Ctenotus septenarius,,,,LC
Ctenotus_severus,Reptiles,Ctenotus_severus,Ctenotus severus,,,,LC
Ctenotus_storri,Reptiles,Ctenotus_storri,Ctenotus storri,,,,LC
Ctenotus_strauchii,Reptiles,Ctenotus_strauchii,Ctenotus strauchii,,,,LC
Ctenotus_striaticeps,Reptiles,Ctenotus_striaticeps,Ctenotus striaticeps,,,,LC
Ctenotus_taeniatus,Reptiles,Ctenotus_taeniatus,Ctenotus taeniatus,,,,LC
Ctenotus_tanamiensis,Reptiles,Ctenotus_tanamiensis,Ctenotus tanamiensis,,,,LC
Ctenotus_tantillus,Reptiles,Ctenotus_tantillus,Ctenotus tantillus,,,,LC
Ctenotus_vertebralis,Reptiles,Ctenotus_vertebralis,Ctenotus vertebralis,,,,LC
Cyclodomorphus_gerrardii,Reptiles,Cyclodomorphus_gerrardii,Cyclodomorphus gerrardii,,,,LC
Delma_australis,Reptiles,Delma_australis,Delma australis,,,,LC
Delma_borea,Reptiles,Delma_borea,Delma borea,,,,LC
Delma_butleri,Reptiles,Delma_butleri,Delma butleri,,,,LC
Delma_fraseri,Reptiles,Delma_fraseri,Delma fraseri,,,,LC
Delma_haroldi,Reptiles,Delma_haroldi,Delma haroldi,,,,
Delma_impar,Reptiles,Delma_impar,Delma impar,Delma impar,Vulnerable,Delma impar,EN
Delma_inornata,Reptiles,Delma_inornata,Delma inornata,,,,LC
Delma_molleri,Reptiles,Delma_molleri,Delma molleri,,,,LC
Delma_nasuta,Reptiles,Delma_nasuta,Delma nasuta,,,,LC
Delma_petersoni,Reptiles,Delma_petersoni,Delma petersoni,,,,LC
Delma_plebeia,Reptiles,Delma_plebeia,Delma plebeia,,,,LC
Delma_tincta,Reptiles,Delma_tincta,Delma tincta,,,,LC
Demansia_olivacea,Reptiles,Demansia_olivacea,Demansia olivacea,,,,LC
Demansia_papuensis,Reptiles,Demansia_papuensis,Demansia papuensis,,,,LC
Demansia_quaesitor,Reptiles,Demansia_quaesitor,Demansia quaesitor,,,,LC
Demansia_rimicola,Reptiles,Demansia_rimicola,Demansia rimicola,,,,LC
Demansia_simplex,Reptiles,Demansia_simplex,Demansia simplex,,,,LC
