Scientific Name,Common Name,Endangered Status,Group
Turdus poliocephalus erythropleurus,Christmas Island Thrush,Endangered,Birds
Turnix olivii,Buff-breasted Button-quail,Endangered,Birds
Turnix varius scintillans,Painted Button-quail (Houtman Abrolhos),Endangered,Birds
Tyto novaehollandiae melvillensis,"Tiwi Masked Owl, Tiwi Islands Masked Owl",Endangered,Birds
Zoothera lunulata halmaturina,"South Australian Bassian Thrush, Western Bassian Thrush",Endangered,Birds
Antechinus argentus,Silver-headed Antechinus,Endangered,Mammals
Antechinus arktos,Black-tailed Antechinus,Endangered,Mammals
Arctocephalus tropicalis,Subantarctic Fur-seal,Endangered,Mammals
Balaenoptera musculus,Blue Whale,Endangered,Mammals
Bettongia penicillata ogilbyi,Woylie,Endangered,Mammals
Bettongia tropica,Northern Bettong,Endangered,Mammals
Burramys parvus,Mountain Pygmy-possum,Endangered,Mammals
Chalinolobus dwyeri,"Large-eared Pied Bat, Large Pied Bat",Endangered,Mammals
Dasyuroides byrnei,"Kowari, brushy-tailed marsupial rat, Byrne's crest-tailed marsupial rat",Endangered,Mammals
Dasyurus hallucatus,"Northern Quoll, Digul [Gogo-Yimidir], Wijingadda [Dambimangari], Wiminji [Martu]",Endangered,Mammals
Dasyurus maculatus gracilis,"Spotted-tailed Quoll (North Queensland), Yarri",Endangered,Mammals
Dasyurus maculatus maculatus (SE mainland population),"Spot-tailed Quoll, Spotted-tail Quoll, Tiger Quoll (southeastern mainland population)",Endangered,Mammals
Dasyurus viverrinus,"Eastern Quoll, Luaner",Endangered,Mammals
Eubalaena australis,Southern Right Whale,Endangered,Mammals
Hipposideros inornatus,Arnhem Leaf-nosed Bat,Endangered,Mammals
Isoodon obesulus obesulus,"Southern Brown Bandicoot (eastern), Southern Brown Bandicoot (south-eastern)",Endangered,Mammals
Lagorchestes hirsutus Central Australian subspecies,"Mala, Rufous Hare-Wallaby (Central Australia)",Endangered,Mammals
Mastacomys fuscus mordicus,"Broad-toothed Rat (mainland), Tooarrana",Endangered,Mammals
Mesembriomys gouldii gouldii,"Black-footed Tree-rat (Kimberley and mainland Northern Territory), Djintamoonga, Manbul",Endangered,Mammals
Myrmecobius fasciatus,Numbat,Endangered,Mammals
Neophoca cinerea,"Australian Sea-lion, Australian Sea Lion",Endangered,Mammals
Notomys aquilo,"Northern Hopping-mouse, Woorrentinta",Endangered,Mammals
Onychogalea fraenata,"Bridled Nail-tail Wallaby, Bridled Nailtail Wallaby",Endangered,Mammals
Parantechinus apicalis,Dibbler,Endangered,Mammals
Perameles bougainville,Shark Bay Bandicoot,Endangered,Mammals
Perameles gunnii Victorian subspecies,Eastern Barred Bandicoot (Mainland),Endangered,Mammals
Petauroides volans,Greater Glider (southern and central),Endangered,Mammals
Petaurus australis Wet Tropics subspecies = Petaurus australis brevirostrum,"Yellow-bellied Glider (Wet Tropics), Fluffy Glider",Endangered,Mammals
Petaurus gracilis,Mahogany Glider,Endangered,Mammals
Petrogale coenensis,Cape York Rock-wallaby,Endangered,Mammals
Petrogale concinna canescens,Nabarlek (Top End),Endangered,Mammals
Petrogale concinna monastria,Nabarlek (Kimberley),Endangered,Mammals
Petrogale lateralis kimberleyensis,"Wiliji, West Kimberley Rock-wallaby",Endangered,Mammals
Petrogale lateralis lateralis,"Black-flanked Rock-wallaby, Moororong, Black-footed Rock Wallaby",Endangered,Mammals
Petrogale persephone,Proserpine Rock-wallaby,Endangered,Mammals
"Phascolarctos cinereus (combined populations of Qld, NSW and the ACT)","Koala (combined populations of Queensland, New South Wales and the Australian Capital Territory)",Endangered,Mammals
Potorous longipes,Long-footed Potoroo,Endangered,Mammals
Pseudomys fumeus,"Smoky Mouse, Konoom",Endangered,Mammals
Pseudomys oralis,"Hastings River Mouse, Koontoo",Endangered,Mammals
Pseudomys shortridgei,"Heath Mouse, Dayang, Heath Rat",Endangered,Mammals
Pteropus conspicillatus,Spectacled Flying-fox,Endangered,Mammals
Sarcophilus harrisii,Tasmanian Devil,Endangered,Mammals
Sminthopsis fuliginosa aitkeni,Kangaroo Island Dunnart,Endangered,Mammals
Sminthopsis psammophila,Sandhill Dunnart,Endangered,Mammals
Tachyglossus aculeatus multiaculeatus,Kangaroo Island Echidna,Endangered,Mammals
Zyzomys palatalis,"Carpentarian Rock-rat, Aywalirroomoo",Endangered,Mammals
Adclarkia cameroni,Brigalow Woodland Snail,Endangered,Other Animals
Adclarkia dulacca,Dulacca Woodland Snail,Endangered,Other Animals
Antipodia chaostola leucophaea,"Tasmanian Chaostola Skipper, Heath-sand Skipper",Endangered,Other Animals
Austrocordulia leonardi,Sydney Hawk Dragonfly,Endangered,Other Animals
Bertmainius tingle,Tingle Pygmy Trapdoor Spider,Endangered,Other Animals
Dendronephthya australis,Cauliflower Soft Coral,Endangered,Other Animals
Engaeus granulatus,Central North Burrowing Crayfish,Endangered,Other Animals
Engaeus martigener,Furneaux Burrowing Crayfish,Endangered,Other Animals
Engaeus spinicaudatus,Scottsdale Burrowing Crayfish,Endangered,Other Animals
Engaewa walpolea,Walpole Burrowing Crayfish,Endangered,Other Animals
Euastacus bidawalus,"Bidhawal Crayfish, Bidawal Crayfish, East Gippsland Spiny Crayfish",Endangered,Other Animals
Euastacus bispinosus,"Glenelg Spiny Freshwater Crayfish, Pricklyback",Endangered,Other Animals
Euastacus clarkae,"Ellen Clark's Crayfish, Clark's Crayfish",Endangered,Other Animals
Euastacus diversus,Orbost Spiny Crayfish,Endangered,Other Animals
Euastacus eungella,Eungella Spiny Crayfish,Endangered,Other Animals
Euastacus gamilaroi,"Gamilaroi Crayfish, Gamilaroi Spiny Crayfish, Hanging Rock Crayfish",Endangered,Other Animals
Euastacus girurmulayn,Smooth Crayfish,Endangered,Other Animals
Euastacus gumar,"Bloodclaw Crayfish, Blood Crayfish",Endangered,Other Animals
Euastacus monteithorum,"Monteith's Crayfish, Monteith's Spiny Crayfish",Endangered,Other Animals
Euastacus polysetosus,Many-bristled Crayfish,Endangered,Other Animals
Euastacus rieki,Riek's Crayfish,Endangered,Other Animals
Euastacus robertsi,"Robert's Crayfish, Robert's Spiny Crayfish",Endangered,Other Animals
Euastacus simplex,"Simple Crayfish, Small Mountain Crayfish",Endangered,Other Animals
Euastacus sp. 1 coughrani (McCormack & Fetzner),"Coughran's Crayfish, Arte Spiny Crayfish",Endangered,Other Animals
Euastacus spinichelatus,Small Crayfish,Endangered,Other Animals
Euastacus suttoni,Sutton's Crayfish,Endangered,Other Animals
Keyacris scurra,Key's Matchstick Grasshopper,Endangered,Other Animals
Leucopatus anophthalmus,Blind Velvet Worm,Endangered,Other Animals
Lissotes latidens,"Broad-toothed Stag Beetle, Wielangta Stag Beetle",Endangered,Other Animals
Meridolum maryae,"Maroubra Woodland Snail, Maroubra Land Snail",Endangered,Other Animals
Mesodontrachia fitzroyana,Fitzroy Land Snail,Endangered,Other Animals
Moggridgea rainbowi,Kangaroo Island Micro-trapdoor Spider,Endangered,Other Animals
Oreixenica ptunarra,"Ptunarra Brown, Ptunarra Brown Butterfly, Ptunarra Xenica",Endangered,Other Animals
Paralucia pyrodiscus lucida,Eltham Copper Butterfly,Endangered,Other Animals
Phyllodes imperialis smithersi,Pink Underwing Moth,Endangered,Other Animals
Placostylus bivaricosus,"Lord Howe Flax Snail, Lord Howe Placostylus",Endangered,Other Animals
Pommerhelix duralensis,Dural Land Snail,Endangered,Other Animals
Semotrachia euzyga,a land snail,Endangered,Other Animals
Sinumelon bednalli,Bednall's Land Snail,Endangered,Other Animals
Thaumatoperla alpina,Alpine Stonefly,Endangered,Other Animals
Trioza barrettae,Banksia brownii plant louse,Endangered,Other Animals
Trisyntopa scatophaga,Antbed Parrot Moth,Endangered,Other Animals
Brachiopsilus ziebelli,"Ziebell's Handfish, Waterfall Bay Handfish",Vulnerable,Fishes
Carcharias taurus (west coast population),Grey Nurse Shark (west coast population),Vulnerable,Fishes
Carcharodon carcharias,"White Shark, Great White Shark",Vulnerable,Fishes
Chlamydogobius squamigenus,Edgbaston Goby,Vulnerable,Fishes
Epinephelus daemelii,"Black Rockcod, Black Cod, Saddled Rockcod",Vulnerable,Fishes
Galaxias parvus,Swamp Galaxias,Vulnerable,Fishes
Galaxias tanycephalus,Saddled Galaxias,Vulnerable,Fishes
Maccullochella peelii,Murray Cod,Vulnerable,Fishes
Milyeringa veritas,"Cape Range Cave Gudgeon, Blind Gudgeon",Vulnerable,Fishes
Mogurnda clivicola,"Flinders Ranges Mogurnda, Flinders Ranges Purple-spotted Gudgeon",Vulnerable,Fishes
Nannatherina balstoni,Balston's Pygmy Perch,Vulnerable,Fishes
Nannoperca australis Murray-Darling Basin lineage,Southern Pygmy Perch (Murray-Darling Basin lineage),Vulnerable,Fishes
Nannoperca variegata,"Variegated Pygmy Perch, Ewens Pygmy Perch, Golden Pygmy Perch",Vulnerable,Fishes
Neoceratodus forsteri,"Australian Lungfish, Queensland Lungfish",Vulnerable,Fishes
Ophisternon candidum,Blind Cave Eel,Vulnerable,Fishes
Paragalaxias dissimilis,Shannon Paragalaxias,Vulnerable,Fishes
Paragalaxias eleotroides,Great Lake Paragalaxias,Vulnerable,Fishes
Pristis clavata,"Dwarf Sawfish, Queensland Sawfish",Vulnerable,Fishes
Pristis pristis,"Freshwater Sawfish, Largetooth Sawfish, River Sawfish, Leichhardt's Sawfish, Northern Sawfish",Vulnerable,Fishes
Pristis zijsron,"Green Sawfish, Dindagubba, Narrowsnout Sawfish",Vulnerable,Fishes
Prototroctes maraena,Australian Grayling,Vulnerable,Fishes
Rhincodon typus,Whale Shark,Vulnerable,Fishes
Assa darlingtoni,Pouched Frog,Vulnerable,Frogs
Geocrinia vitellina = Anstisia vitellina,Orange-bellied Frog,Vulnerable,Frogs
Heleioporus australiacus,Giant Burrowing Frog,Vulnerable,Frogs
Litoria aurea,Green and Golden Bell Frog,Vulnerable,Frogs
Litoria daviesae,Davies' Tree Frog,Vulnerable,Frogs
Litoria dayi,"Australian Lace-lid, Lace-eyed Tree Frog, Day's Big-eyed Treefrog",Vulnerable,Frogs
Litoria olongburensis,Wallum Sedge Frog,Vulnerable,Frogs
Litoria piperata,Peppered Tree Frog,Vulnerable,Frogs
Litoria raniformis,"Southern Bell Frog,, Growling Grass Frog, Green and Golden Frog, Warty Swamp Frog, Golden Bell Frog",Vulnerable,Frogs
Litoria subglandulosa,"New England Tree Frog, Glandular Frog",Vulnerable,Frogs
Litoria verreauxii alpina,"Alpine Tree Frog, Verreaux's Alpine Tree Frog",Vulnerable,Frogs
Mixophyes balbus,"Stuttering Frog, Southern Barred Frog (in Victoria)",Vulnerable,Frogs
Mixophyes iteratus,"Giant Barred Frog, Southern Barred Frog",Vulnerable,Frogs
Philoria sphagnicola,Sphagnum Frog,Vulnerable,Frogs
Pseudophryne covacevichae,Magnificent Brood Frog,Vulnerable,Frogs
Spicospina flammocaerulea,Sunset Frog,Vulnerable,Frogs
Uperoleia daviesae,"Howard River Toadlet, Davies's Toadlet",Vulnerable,Frogs
Acanthophis hawkei,Plains Death Adder,Vulnerable,Reptiles
Anomalopus mackayi,"Five-clawed Worm-skink, Long-legged Worm-skink",Vulnerable,Reptiles
Aprasia parapulchella,"Pink-tailed Worm-lizard, Pink-tailed Legless Lizard",Vulnerable,Reptiles
Aprasia pseudopulchella,Flinders Ranges Worm-lizard,Vulnerable,Reptiles
Chelonia mydas,Green Turtle,Vulnerable,Reptiles
Christinus guentheri,"Lord Howe Island Gecko, Lord Howe Island Southern Gecko",Vulnerable,Reptiles
Coeranoscincus reticulatus,Three-toed Snake-tooth Skink,Vulnerable,Reptiles
Ctenophorus yinnietharra,Yinnietharra Rock-Dragon,Vulnerable,Reptiles
Ctenotus lancelini,Lancelin Island Skink,Vulnerable,Reptiles
Ctenotus zastictus,Hamelin Ctenotus,Vulnerable,Reptiles
Delma impar,"Striped Legless Lizard, Striped Snake-lizard",Vulnerable,Reptiles
Delma mitella,"Atherton Delma, Legless Lizard",Vulnerable,Reptiles
Delma torquata,"Adorned Delma, Collared Delma",Vulnerable,Reptiles
Denisonia maculata,Ornamental Snake,Vulnerable,Reptiles
Egernia rugosa,Yakka Skink,Vulnerable,Reptiles
Eretmochelys imbricata,Hawksbill Turtle,Vulnerable,Reptiles
Furina dunmalli,Dunmall's Snake,Vulnerable,Reptiles
Harrisoniascincus zia,Rainforest Cool-skink,Vulnerable,Reptiles
Lerista vittata,"Mount Cooper Striped Skink, Mount Cooper Striped Lerista",Vulnerable,Reptiles
Liasis olivaceus barroni,Pilbara Olive Python,Vulnerable,Reptiles
Liopholis kintorei,"Great Desert Skink, Tjakura, Warrarna, Mulyamiji, Tjalapa, Nampu",Vulnerable,Reptiles
Liopholis pulchra longicauda,"Jurien Bay Skink, Jurien Bay Rock-skink",Vulnerable,Reptiles
Natator depressus,Flatback Turtle,Vulnerable,Reptiles
Notechis scutatus ater,Krefft's Tiger Snake (Flinders Ranges),Vulnerable,Reptiles
Oligosoma lichenigerum,Lord Howe Island Skink,Vulnerable,Reptiles
Ophidiocephalus taeniatus,Bronzeback Snake-lizard,Vulnerable,Reptiles
Ramphotyphlops exocoeti,"Christmas Island Blind Snake, Christmas Island Pink Blind Snake",Vulnerable,Reptiles
Rheodytes leukops,"Fitzroy River Turtle, Fitzroy Tortoise, Fitzroy Turtle, White-eyed River Diver",Vulnerable,Reptiles
Uvidicolus sphyrurus,"Border Thick-tailed Gecko, Granite Belt Thick-tailed Gecko",Vulnerable,Reptiles
Acanthiza iredalei rosinae,Slender-billed Thornbill (Gulf St Vincent),Vulnerable,Birds
Acanthiza lineata whitei,Kangaroo Island Striated Thornbill,Vulnerable,Birds
Amytornis merrotsyi merrotsyi,Short-tailed Grasswren (Flinders Ranges),Vulnerable,Birds
Amytornis modestus,Thick-billed Grasswren,Vulnerable,Birds
Amytornis textilis myall,Western Grasswren (Gawler Ranges),Vulnerable,Birds
Amytornis woodwardi,"White-throated Grasswren, Yirlinkirrkirr",Vulnerable,Birds
Anous tenuirostris melanops,Australian Lesser Noddy,Vulnerable,Birds
Anthochaera chrysoptera halmaturina,Kangaroo Island Little Wattlebird,Vulnerable,Birds
Aphelocephala leucopsis,Southern Whiteface,Vulnerable,Birds
Ardenna grisea,Sooty Shearwater,Vulnerable,Birds
Arenaria interpres,Ruddy Turnstone,Vulnerable,Birds
Calidris acuminata,Sharp-tailed Sandpiper,Vulnerable,Birds
Calidris canutus,"Red Knot, Knot",Vulnerable,Birds
Calidris tenuirostris,Great Knot,Vulnerable,Birds
Calyptorhynchus banksii naso,"Forest Red-tailed Black-Cockatoo, Karrak",Vulnerable,Birds
Calyptorhynchus lathami lathami,South-eastern Glossy Black-Cockatoo,Vulnerable,Birds
Cereopsis novaehollandiae grisea,"Cape Barren Goose (south-western), Recherche Cape Barren Goose",Vulnerable,Birds
Charadrius leschenaultii,"Greater Sand Plover, Large Sand Plover",Vulnerable,Birds
Climacteris picumnus victoriae,Brown Treecreeper (south-eastern),Vulnerable,Birds
Diomedea antipodensis,Antipodean Albatross,Vulnerable,Birds
Diomedea antipodensis gibsoni,Gibson's Albatross,Vulnerable,Birds
Diomedea epomophora,Southern Royal Albatross,Vulnerable,Birds
Diomedea exulans,Wandering Albatross,Vulnerable,Birds
Falco hypoleucos,Grey Falcon,Vulnerable,Birds
Falcunculus frontatus whitei,"Crested Shrike-tit (northern), Northern Shrike-tit",Vulnerable,Birds
Fregetta grallaria grallaria,"White-bellied Storm-Petrel (Tasman Sea), White-bellied Storm-Petrel (Australasian)",Vulnerable,Birds
Gallinago hardwickii,"Latham's Snipe, Japanese Snipe",Vulnerable,Birds
Geophaps scripta scripta,Squatter Pigeon (southern),Vulnerable,Birds
Geophaps smithii blaauwi,Partridge Pigeon (western),Vulnerable,Birds
Geophaps smithii smithii,Partridge Pigeon (eastern),Vulnerable,Birds
Grantiella picta,Painted Honeyeater,Vulnerable,Birds
Halobaena caerulea,Blue Petrel,Vulnerable,Birds
Hirundapus caudacutus,White-throated Needletail,Vulnerable,Birds
Hylacola cauta halmaturina,Shy Heathwren (Kangaroo Island),Vulnerable,Birds
Leipoa ocellata,Malleefowl,Vulnerable,Birds
Leucocarbo atriceps nivalis,"Imperial Shag (Heard Island), Heard Shag",Vulnerable,Birds
Leucocarbo atriceps purpurascens,Imperial Shag (Macquarie Island),Vulnerable,Birds
Limnodromus semipalmatus,Asian Dowitcher,Vulnerable,Birds
Macronectes halli,Northern Giant Petrel,Vulnerable,Birds
Malurus leucopterus edouardi,"White-winged Fairy-wren (Barrow Island), Barrow Island Black-and-white Fairy-wren",Vulnerable,Birds
Malurus leucopterus leucopterus,"White-winged Fairy-wren (Dirk Hartog Island), Dirk Hartog Black-and-White Fairy-wren",Vulnerable,Birds
Mirafra javanica melvillensis,Horsfield's Bushlark (Tiwi Islands),Vulnerable,Birds
Neophema chrysostoma,Blue-winged Parrot,Vulnerable,Birds
Ninox natalis,"Christmas Island Hawk-Owl, Christmas Boobook",Vulnerable,Birds
Pachycephala pectoralis xanthoprocta,Golden Whistler (Norfolk Island),Vulnerable,Birds
Pachycephala rufogularis,Red-lored Whistler,Vulnerable,Birds
Pachyptila turtur subantarctica,Fairy Prion (southern),Vulnerable,Birds
Petroica multicolor,"Norfolk Island Robin, Pacific Robin",Vulnerable,Birds
Phoebetria fusca,Sooty Albatross,Vulnerable,Birds
Platycercus caledonicus brownii,Green Rosella (King Island),Vulnerable,Birds
Platycercus elegans melanopterus,Kangaroo Island Crimson Rosella,Vulnerable,Birds
Pluvialis squatarola,Grey Plover,Vulnerable,Birds
Polytelis alexandrae,"Princess Parrot, Alexandra's Parrot",Vulnerable,Birds
Polytelis anthopeplus monarchoides,Regent Parrot (eastern),Vulnerable,Birds
Polytelis swainsonii,Superb Parrot,Vulnerable,Birds
Probosciger aterrimus macgillivrayi,Palm Cockatoo (Australian),Vulnerable,Birds
Pterodroma mollis,Soft-plumaged Petrel,Vulnerable,Birds
Pterodroma neglecta neglecta,Kermadec Petrel (western),Vulnerable,Birds
Pycnoptilus floccosus,Pilotbird,Vulnerable,Birds
Stagonopleura guttata,Diamond Firetail,Vulnerable,Birds
Sterna vittata vittata,Antarctic Tern (Indian Ocean),Vulnerable,Birds
Sternula nereis nereis,Australian Fairy Tern,Vulnerable,Birds
Strepera fuliginosa colei,Black Currawong (King Island),Vulnerable,Birds
Strepera graculina crissalis,"Lord Howe Island Currawong, Pied Currawong (Lord Howe Island)",Vulnerable,Birds
Thalassarche bulleri,"Buller's Albatross, Pacific Albatross",Vulnerable,Birds
Thalassarche bulleri platei,"Northern Buller's Albatross, Pacific Albatross",Vulnerable,Birds
Thalassarche carteri,Indian Yellow-nosed Albatross,Vulnerable,Birds
Thalassarche impavida,"Campbell Albatross, Campbell Black-browed Albatross",Vulnerable,Birds
Thalassarche melanophris,Black-browed Albatross,Vulnerable,Birds
Thalassarche salvini,Salvin's Albatross,Vulnerable,Birds
Thalassarche steadi,White-capped Albatross,Vulnerable,Birds
Thinornis cucullatus cucullatus,"Eastern Hooded Plover, Eastern Hooded Plover",Vulnerable,Birds
Turnix melanogaster,Black-breasted Button-quail,Vulnerable,Birds
Tyto novaehollandiae castanops (Tasmanian population),Masked Owl (Tasmanian),Vulnerable,Birds
Tyto novaehollandiae kimberli,Masked Owl (northern),Vulnerable,Birds
Xenus cinereus,Terek Sandpiper,Vulnerable,Birds
Antechinus bellus,Fawn Antechinus,Vulnerable,Mammals
Antechinus minimus maritimus,Swamp Antechinus (mainland),Vulnerable,Mammals
Balaenoptera borealis,Sei Whale,Vulnerable,Mammals
Balaenoptera physalus,Fin Whale,Vulnerable,Mammals
Bettongia lesueur Barrow and Boodie Islands subspecies,"Boodie, Burrowing Bettong (Barrow and Boodie Islands)",Vulnerable,Mammals
Bettongia lesueur lesueur,"Burrowing Bettong (Shark Bay), Boodie",Vulnerable,Mammals
Conilurus penicillatus,"Brush-tailed Rabbit-rat, Brush-tailed Tree-rat, Pakooma",Vulnerable,Mammals
Dasyurus geoffroii,"Chuditch, Western Quoll",Vulnerable,Mammals
Dasyurus maculatus maculatus (Tasmanian population),"Spotted-tail Quoll, Spot-tailed Quoll, Tiger Quoll (Tasmanian population)",Vulnerable,Mammals
Hipposideros semoni,"Semon's Leaf-nosed Bat, Greater Wart-nosed Horseshoe-bat",Vulnerable,Mammals
Isoodon auratus auratus,Golden Bandicoot (mainland),Vulnerable,Mammals
Isoodon auratus barrowensis,Golden Bandicoot (Barrow Island),Vulnerable,Mammals
Isoodon obesulus nauticus,Southern Brown Bandicoot (Nuyts Archipelago),Vulnerable,Mammals
Lagorchestes conspicillatus conspicillatus,Spectacled Hare-wallaby (Barrow Island),Vulnerable,Mammals
Lagorchestes hirsutus bernieri,Rufous Hare-wallaby (Bernier Island),Vulnerable,Mammals
Lagorchestes hirsutus dorreae,Rufous Hare-wallaby (Dorre Island),Vulnerable,Mammals
Lagostrophus fasciatus fasciatus,"Banded Hare-wallaby, Merrnine, Marnine, Munning",Vulnerable,Mammals
Leporillus conditor,"Wopilkara, Greater Stick-nest Rat",Vulnerable,Mammals
Macroderma gigas,Ghost Bat,Vulnerable,Mammals
Macrotis lagotis,Greater Bilby,Vulnerable,Mammals
Mesembriomys gouldii melvillensis,Black-footed Tree-rat (Melville Island),Vulnerable,Mammals
Mesembriomys gouldii rattoides,"Black-footed Tree-rat (north Queensland), Shaggy Rabbit-rat",Vulnerable,Mammals
Mirounga leonina,Southern Elephant Seal,Vulnerable,Mammals
Notamacropus parma,Parma Wallaby,Vulnerable,Mammals
Notomys fuscus,"Dusky Hopping-mouse, Wilkiniti",Vulnerable,Mammals
Nyctophilus corbeni,"Corben's Long-eared Bat, South-eastern Long-eared Bat",Vulnerable,Mammals
Osphranter robustus isabellinus,"Barrow Island Wallaroo, Barrow Island Euro",Vulnerable,Mammals
Perameles gunnii gunnii,Eastern Barred Bandicoot (Tasmania),Vulnerable,Mammals
Petauroides minor,"Greater Glider (northern), Greater Glider (north-eastern Queensland)",Vulnerable,Mammals
Petaurus australis australis,Yellow-bellied Glider (south-eastern),Vulnerable,Mammals
Petrogale lateralis centralis,"Warru, Central Australian Rock-wallaby",Vulnerable,Mammals
Petrogale lateralis hacketti,Recherche Rock-wallaby,Vulnerable,Mammals
Petrogale penicillata,Brush-tailed Rock-wallaby,Vulnerable,Mammals
Petrogale sharmani,"Mount Claro Rock Wallaby, Sharman's Rock Wallaby",Vulnerable,Mammals
Petrogale xanthopus celeris,Yellow-footed Rock-wallaby (central-western Queensland),Vulnerable,Mammals
Petrogale xanthopus xanthopus,Yellow-footed Rock-wallaby (SA and NSW),Vulnerable,Mammals
Phascogale calura,"Red-tailed Phascogale, Red-tailed Wambenger, Kenngoor",Vulnerable,Mammals
Phascogale pirata,Northern Brush-tailed Phascogale,Vulnerable,Mammals
Phascogale tapoatafa kimberleyensis,"Kimberley brush-tailed phascogale, Brush-tailed Phascogale (Kimberley)",Vulnerable,Mammals
Potorous tridactylus tridactylus,Long-nosed Potoroo (northern),Vulnerable,Mammals
Potorous tridactylus trisulcatus,Long-nosed Potoroo (southern mainland),Vulnerable,Mammals
Pseudomys australis,"Plains Rat, Palyoora, Plains Mouse",Vulnerable,Mammals
Pseudomys fieldi,"Shark Bay Mouse, Djoongari, Alice Springs Mouse",Vulnerable,Mammals
Pseudomys novaehollandiae,"New Holland Mouse, Pookila",Vulnerable,Mammals
Pseudomys pilligaensis,"Pilliga Mouse, Poolkoo",Vulnerable,Mammals
Pteropus poliocephalus,Grey-headed Flying-fox,Vulnerable,Mammals
Rhinolophus robertsi,"Large-eared Horseshoe Bat, Greater Large-eared Horseshoe Bat",Vulnerable,Mammals
Rhinonicteris aurantia (Pilbara form),Pilbara Leaf-nosed Bat,Vulnerable,Mammals
Saccolaimus saccolaimus nudicluniatus,"Bare-rumped Sheath-tailed Bat, Bare-rumped Sheathtail Bat",Vulnerable,Mammals
Setonix brachyurus,Quokka,Vulnerable,Mammals
Sminthopsis butleri,Butler's Dunnart,Vulnerable,Mammals
Sminthopsis douglasi,Julia Creek Dunnart,Vulnerable,Mammals
Trichosurus vulpecula arnhemensis,Northern Brushtail Possum,Vulnerable,Mammals
Xeromys myoides,"Water Mouse, False Water Rat, Yirrkoo",Vulnerable,Mammals
Zyzomys maini,"Arnhem Rock-rat, Arnhem Land Rock-rat, Kodjperr",Vulnerable,Mammals
Astacopsis gouldi,"Giant Freshwater Crayfish, Tasmanian Giant Freshwater Lobster",Vulnerable,Other Animals
Bertmainius colonus,Eastern Stirling Range Pygmy Trapdoor Spider,Vulnerable,Other Animals
Cherax robustus,Sand Yabby,Vulnerable,Other Animals
Engaeus orramakunna,Mount Arthur Burrowing Crayfish,Vulnerable,Other Animals
Engaeus yabbimunna,Burnie Burrowing Crayfish,Vulnerable,Other Animals
Hoplogonus simsoni,Simson's Stag Beetle,Vulnerable,Other Animals
Hoplogonus vanderschoori,Vanderschoor's Stag Beetle,Vulnerable,Other Animals
Idiosoma nigrum,"Shield-backed Trapdoor Spider, Black Rugose Trapdoor Spider",Vulnerable,Other Animals
Kumonga exleyi,Cape Range Remipede,Vulnerable,Other Animals
Megascolides australis,Giant Gippsland Earthworm,Vulnerable,Other Animals
Oreisplanus munionga larana,"Marrawah Skipper, Alpine Sedge Skipper, Alpine Skipper",Vulnerable,Other Animals
Paralucia spinifera,"Bathurst Copper Butterfly, Purple Copper Butterfly, Bathurst Copper, Bathurst Copper Wing, Bathurst-Lithgow Copper, Purple Copper",Vulnerable,Other Animals
Parvulastra vivipara,Tasmanian Live-bearing Seastar,Vulnerable,Other Animals
Synemon plana,Golden Sun Moth,Vulnerable,Other Animals
Westralunio carteri,"Carter's Freshwater Mussel, Freshwater Mussel",Vulnerable,Other Animals
Centrophorus harrissoni,"Harrisson's Dogfish, Endeavour Dogfish, Dumb Gulper Shark, Harrison's Deepsea Dogfish",Conservation,Fishes
Centrophorus uyato,Little Gulper Shark,Conservation,Fishes
Galeorhinus galeus,"School Shark, Eastern School Shark, Snapper Shark, Tope, Soupfin Shark",Conservation,Fishes
Hoplostethus atlanticus,"Orange Roughy, Deep-sea Perch, Red Roughy",Conservation,Fishes
Rexea solandri (eastern Australian population),Eastern Gemfish,Conservation,Fishes
Seriolella brama,Blue Warehou,Conservation,Fishes
Sphyrna lewini,Scalloped Hammerhead,Conservation,Fishes
Thunnus maccoyii,Southern Bluefin Tuna,Conservation,Fishes
Acacia kingiana,,Extinct,Plants
Acacia prismifolia,Diels' Wattle,Extinct,Plants
Acianthus ledwardii,,Extinct,Plants
Amperea xiphoclada var. pedicellata,,Extinct,Plants
Amphibromus whitei,,Extinct,Plants
Caladenia brachyscapa,Short Spider-orchid,Extinct,Plants
Coleanthera virgata = Styphelia lanata,Hidden Coleanthera,Extinct,Plants
Deyeuxia lawrencei,,Extinct,Plants
Didymoglossum exiguum,,Extinct,Plants
Diuris bracteata,,Extinct,Plants
Euphrasia ruptura,subshrub,Extinct,Plants
Frankenia decurrens,Decurrent-leaved Frankenia,Extinct,Plants
Huperzia serrata,Water Tassel-fern,Extinct,Plants
Hymenophyllum lobbii,,Extinct,Plants
Hymenophyllum whitei,a filmy fern,Extinct,Plants
Lemmaphyllum accedens,,Extinct,Plants
Lepidium drummondii,Drummond's Lepidium,Extinct,Plants
Leucopogon cryptanthus,Small-flowered Leucopogon,Extinct,Plants
Lycopodium volubile = Pseudodiphasium volubile,,Extinct,Plants
Monogramma dareicarpa,Grass Fern,Extinct,Plants
Musa fitzalanii,Daintree's River Banana,Extinct,Plants
Myriocephalus nudus,,Extinct,Plants
Olearia oliganthema,,Extinct,Plants
Opercularia acolytantha,Esperance Dog Weed,Extinct,Plants
Ozothamnus selaginoides,"Clubmoss Everlasting, Table Mountain Daisy Bush",Extinct,Plants
